zipcode,graffiti_complaints,heating_complaints,illegal_parking_complaints,noise_complaints,restaurant_average_score,streetlight_complaints,amount_of_trees
11372,728,4428,1211,7898,19,2248,3243
11215,1237,3530,4938,4497,17,5243,5827
10304,210,2136,1487,5761,20,2986,5879
10469,651,4549,2452,9101,19,5695,6696
11367,84,2748,1181,2884,18,2512,858
11223,921,4432,6182,5290,16,1810,4048
10305,256,601,2695,1978,18,3263,6710
11221,1519,13636,1904,15542,18,4341,3384
11208,1205,10357,2958,13810,18,4908,8124
10463,618,17951,2343,11561,17,1530,3628
11218,1367,7000,5986,6071,19,2485,2491
10302,152,815,870,2057,18,1454,2276
11214,982,6910,5890,4946,20,4425,1817
11233,874,13368,2015,10659,18,3727,2032
11222,1931,2804,2276,4320,18,3067,4660
11368,2217,4415,3017,11345,18,3782,3544
11422,105,1093,1072,2180,18,2715,2285
11216,1144,12291,1938,14182,19,2980,2257
11206,1937,4887,3062,14963,17,3695,3572
11377,1213,5116,4364,7805,18,4869,3140
10024,286,4039,1892,5041,17,65,3699
11201,468,2041,3931,5782,17,4296,4238
11106,508,2600,1606,5323,17,1743,1539
11435,533,3419,2001,6145,16,2600,408
11375,179,3723,2385,4549,16,3676,5708
10451,605,9936,1170,8120,17,184,2449
11238,1160,8038,3255,11588,16,3095,3371
10012,1376,1949,1212,2934,18,703,1049
11692,9,1656,292,1823,14,1601,1878
10040,673,22264,938,14241,19,820,1574
11385,665,6569,8565,9393,17,6378,6713
10027,772,9830,2434,13053,19,292,3043
10001,645,1859,1491,4011,17,37,838
10013,1656,1502,1695,1955,18,1687,1217
11103,446,2886,1648,3384,16,1639,1758
11357,244,438,2279,1342,15,3699,1627
10023,88,2456,3048,4307,17,161,2687
11432,881,3614,1250,5234,17,3078,1345
11355,521,4256,3098,4353,20,3278,2636
11229,648,6348,4213,6557,19,2533,5067
11204,773,4543,6656,4809,19,3586,2435
11235,778,8068,4370,6221,18,4352,5028
11370,270,727,1764,2419,15,2044,2862
10065,185,1485,1017,1031,17,53,1652
11363,21,96,468,203,14,1028,1239
10473,372,3849,1516,7405,18,5920,4307
11427,145,1044,816,1854,15,2028,2226
11102,424,2216,1474,4423,16,1583,1600
11211,2790,4219,2682,9252,17,2686,5421
10025,509,9820,2422,11627,19,299,3922
11207,1307,12151,3716,15898,17,7038,8232
11105,617,2525,1688,2906,16,2601,3789
10037,102,3336,534,3639,18,68,699
11104,218,3250,730,4239,18,1155,1587
11230,1104,10371,6702,7970,17,1800,6027
11231,642,1433,2449,3159,16,3720,3338
10465,295,1054,3730,4348,17,5251,5183
11356,596,575,2017,2103,16,1034,2252
11232,1115,2225,1839,3155,20,3660,846
10031,876,17504,1227,19495,18,137,2596
11418,641,2129,2129,4548,17,2297,963
11237,1298,6630,1740,11786,18,2353,2579
10002,4099,5355,3233,11115,18,2145,2261
11369,319,1481,2155,5271,16,2255,1932
10462,2069,14177,2414,12540,16,4275,4233
11361,213,542,1467,935,16,2589,3779
11101,1216,1510,4524,4583,17,3716,3272
10314,287,515,4680,3670,19,7180,15804
11354,464,1985,2166,3644,20,3141,1310
10009,1343,6674,1679,11320,17,103,1900
10018,138,685,892,897,19,57,515
10457,1502,18590,1678,15480,16,908,4092
11374,169,3241,2043,3771,17,2003,3007
11228,357,964,4061,1321,16,1895,642
10467,1526,27963,2357,24038,17,2469,4339
10128,496,2998,1277,4737,18,103,2134
11358,303,808,2262,2007,18,3399,845
11219,1096,4814,5652,3154,18,3675,833
10019,173,3372,2825,3074,17,433,1705
11365,204,533,2063,3149,16,3155,2017
11234,485,2751,6869,7630,16,3260,5335
10474,641,2570,533,3247,17,2482,2591
11373,1100,6080,2657,9727,19,3536,4013
10303,159,970,1258,2494,18,1670,2879
